,RXCUI,ATC
1123,977526,N02BE01
1124,977526,D11AX26
1125,977526,N06BC01
1126,700885,L01AX03
1127,240034,A12AA05
1128,206352,A01AC03
1129,206352,A07EA02
1130,206352,C05AA01
1131,206352,D07AA02
1132,206352,D07XA01
1133,206352,H02AB09
1134,206352,S01BA02
1135,206352,S01CB03
1136,206352,S02BA01
1137,310497,H04AA01
1138,903696,H03AA02
1139,201372,C09AA01
1140,6064,D10AD04
1141,6064,D10BA01
1142,1799178,G01AD03
1143,1799178,S01XA15
1144,1799178,A11GA01
1145,201239,N03AX09
1146,1719847,N05AD01
1147,259196,A06AA01
1148,1439851,L01AA09
1149,284243,J01DC08
1150,1049584,N02AA05
1151,856912,N02BE01
1152,856912,R05DA03
1153,1299662,R05DA09
1154,1299662,N02BE01
1155,1299662,R01BA02
1156,1299662,R06AB04
1157,311034,A10AB01
1158,311034,A10AC01
1159,311034,A10AD01
1160,311034,A10AE01
1161,311034,A10AF01
1162,831338,C08DB01
1163,831338,C05AE03
1164,196463,D11AH01
1165,196463,L04AD02
1166,207678,C02DD01
1167,1086386,B05CX01
1168,1086386,V04CA02
1169,1086386,V06DC01
1170,543789,C05AD03
1171,543789,D04AB04
1172,543789,N01BA05
1173,543789,R02AD01
1174,543789,C05AD02
1175,543789,D04AB06
1176,543789,N01BA03
1177,543789,S01HA03
1178,2037,V04CX08
1179,199305,A06AC05
1180,1190184,A06AA02
1181,221124,C07AB02
1182,18687,J01CA06
1183,1013034,D10AB02
1184,1013034,S01AB04
1185,1013034,D10AF06
1186,1373046,R05DA09
1187,1307104,R06AB04
1188,1307104,R05DA03
1189,1307104,C01CA06
1190,1307104,R01AA04
1191,1307104,R01AB01
1192,1307104,R01BA03
1193,1307104,S01FB01
1194,1307104,S01GA05
1195,856737,C07AA05
1196,214547,A01AD01
1197,214547,B02BC09
1198,214547,C01CA24
1199,214547,R01AA14
1200,214547,R03AA01
